Data Export Generated on Wed Feb 19 09:28:27 PST 2025,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 10772365,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,
Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,Custom Variable 1,Custom Variable 2,Custom Variable 3,Custom Variable 4,Custom Variable 5,Respondent Email,Email List,Country Code,Region,Lead TA Shift Report - Thanks for helping us collect data!,What is the date of the shift you are reporting for?,Please choose the day of the week.,Please enter the time slot.,Approximately how many times did you help a student during your shift?,Comment on how long TAs generally spent with a given student during your shift.,What were the most common problems being addressed. Ideally these would be prefaced with the course number.
101489211,Completed,134.126.113.12,4/4/23 20:00,0,421,1,,,,,,,,,US,VA,,4/4/23,Tuesday,7-9 pm,15,20-10 mins,"149 - Finding triple w/o a given number, Test cases, 159 - P4 part 2 240 - Recursively building an expression tree 261 - Machine Code Lab, P3 Main function, using the memory struct"
101491150,Completed,75.102.137.39,4/4/23 21:26,0,30,1,,,,,,,,,US,VA,,4/3/23,Monday,9-11 pm,6,20,"240, 159"
101492025,Completed,75.102.137.39,4/4/23 21:59,0,35,1,,,,,,,,,US,VA,,4/4/23,Tuesday,9-11 pm,8,14,"149,159,261,240"
101536426,Completed,134.126.113.9,4/5/23 18:01,0,71,1,,,,,,,,,US,VA,,4/5/23,Wednesday,5-7 pm,15,10 minutes,Understanding they are not writing the src code
101544479,Completed,75.102.137.39,4/5/23 22:03,0,52,1,,,,,,,,,US,VA,,4/5/23,Wednesday,7-9 pm,21,12,159，149，261
101544878,Completed,67.187.17.151,4/5/23 22:19,0,362,1,,,,,,,,,US,VA,,4/5/23,Wednesday,9-11 pm,16,10-30mins,CS 149 - Understanding how to use 'self' CS 159 - Getting full coverage
101605491,Completed,134.126.113.12,4/6/23 19:59,0,219,1,,,,,,,,,US,VA,,4/6/23,Thursday,7-9 pm,15,10-20 mins,"149 - P2 159 - Misgraded exam, the question was about inheritance 261 - fetch - Jump and Call"
101610108,Completed,52.124.33.225,4/6/23 22:13,0,39,1,,,,,,,,,US,VA,,4/6/23,Thursday,9-11 pm,5,20 minutes,PA2 Unit testing
101656524,Completed,71.63.35.135,4/7/23 22:29,0,37,1,,,,,,,,,US,VA,,4/6/23,Thursday,5-7 pm,30,15,261 | PA3 149 | Coin PA
101708972,Completed,98.244.113.74,4/9/23 22:20,0,89,1,,,,,,,,,US,VA,,4/9/23,Sunday,3-5 pm Sunday only,50,10-Jul,149 - not checking type of object basic syntax not knowing what OOP 261 - all over the place. Couldn't pinpoint one set issue 
101709009,Completed,98.244.113.74,4/9/23 22:23,0,180,1,,,,,,,,,US,VA,,4/9/23,Sunday,5-7 pm,75,10-Jul,149 - same issues as the last shift 261- stu died on them 159 - thrust methods within ship and what to update. Specs were unclear
101709360,Completed,71.63.35.135,4/9/23 22:51,0,137,1,,,,,,,,,US,VA,,4/9/23,Sunday,9-11 pm,24,15,149 | PA2 159 | Ship 240 | PA 261 | PA3
101775379,Completed,134.126.113.41,4/10/23 17:57,0,48,1,,,,,,,,,US,VA,,4/10/23,Monday,5-7 pm,40,10m,149 159 261 240
101791536,Completed,75.102.131.71,4/10/23 23:30,0,185,1,,,,,,,,,US,VA,,4/10/23,Monday,9-11 pm,10,10-20 minutes,"149: practice exam questions 159: asteroids: friction, thrust, branch coverage, x+y positions differing from gradescope 240: pa3: equals method, remove method, nosuchelement exception "
101828167,Completed,134.126.113.32,4/11/23 13:14,0,92,1,,,,,,,,,US,VA,,4/10/23,Monday,7-9 pm,42,8,149 - uml issues 159 - update an thrust 261- rodata 240- people didn't even start the project until the day of
101828797,Completed,134.126.113.32,4/11/23 13:23,0,57,1,,,,,,,,,US,VA,,4/9/23,Sunday,7-9 pm,55,5-10mins,CS 149 - following the uml CS 159 - thurst CS 261 - load-_segment
101854795,Completed,134.126.113.12,4/11/23 20:05,0,176,1,,,,,,,,,US,VA,,4/11/23,Tuesday,7-9 pm,23,10-15 mins,"149 - add_coin, making test cases, private attributes 159 - ship default constructor, getters and setters 240 - peek functions"
101882882,Completed,75.102.137.39,4/12/23 10:14,0,69,1,,,,,,,,,US,VA,,4/11/23,Tuesday,9-11 pm,7,25,149
101902483,Completed,134.126.113.63,4/12/23 15:51,0,56,1,,,,,,,,,US,VA,,4/11/23,Tuesday,5-7 pm,30,10-15 minutes,"149: PA part 2 240: equals, remove"
101913029,Completed,73.31.123.183,4/12/23 20:39,0,128,1,,,,,,,,,US,VA,,4/12/23,Wednesday,7-9 pm,13,15,159- we had different issues everytime. Some students were finishing up everything from the last deadline and some had their asteroids going too quickly and flying around 149 - add coins functions and what they do in the latest class 
101935345,Completed,52.124.33.225,4/13/23 09:11,0,49,1,,,,,,,,,US,VA,,4/12/23,Wednesday,5-7 pm,15,15 minutes ,
101964677,Completed,134.126.113.12,4/13/23 20:06,0,205,1,,,,,,,,,US,VA,,4/13/23,Thursday,7-9 pm,31,15-20 mins,"149 - Portfolio, add_coin(s) 159 - collisions, end game, removing destroyed things"
101982235,Completed,71.63.35.135,4/14/23 08:08,0,52,1,,,,,,,,,US,VA,,4/13/23,Thursday,5-7 pm,25,15,149 | PA 159 | Astroid and saucer constructor
101984721,Completed,134.126.113.32,4/14/23 08:57,0,36,1,,,,,,,,,US,VA,,4/12/23,Wednesday,9-11 pm,3,20,CS 149 - How to use list of objects
102160119,Completed,134.126.113.41,4/17/23 18:02,0,81,1,,,,,,,,,US,VA,,4/17/23,Monday,5-7 pm,45,10m,Pa2 149
102190966,Completed,98.244.113.74,4/18/23 09:13,0,52,1,,,,,,,,,US,VA,,4/16/23,Sunday,3-5 pm Sunday only,15,15,149 Pa coins 
102191081,Completed,98.244.113.74,4/18/23 09:14,0,33,1,,,,,,,,,US,VA,,4/16/23,Sunday,5-7 pm,20,15,149 coins
102191292,Completed,98.244.113.74,4/18/23 09:15,0,64,1,,,,,,,,,US,VA,,4/17/23,Monday,7-9 pm,25,10,"149- syntax errors, self issues, coin, not using helper "
102215790,Completed,134.126.113.81,4/18/23 15:08,0,433,1,,,,,,,,,US,VA,,4/17/23,Monday,9-11 pm,11,10-25 minutes,"149: all PA questions - a lot of not understanding classes, when to use self.attribute vs variable.attribute, and not fully understanding the data types they were working with. Project-wise, we mostly saw find_new_coin() which required them to get data from the API and print it in a certain order. The biggest problem with this was they only have two test cases to work with without having to learn everything about cryptocurrency and independently getting data from the API which seems outside of the scope of this project."
102227563,Completed,134.126.113.93,4/18/23 20:07,0,109,1,,,,,,,,,US,VA,,4/18/23,Tuesday,7-9 pm,40,10-15 mins,149 - pa2
102230693,Completed,75.102.137.39,4/18/23 22:06,0,92,1,,,,,,,,,US,VA,,4/18/23,Tuesday,9-11 pm,25,10,149
102252771,Completed,75.102.131.71,4/19/23 09:12,0,172,1,,,,,,,,,US,VA,,4/18/23,Tuesday,5-7 pm,55,5-15 minutes,149: all needed help with the PA. many needed help with find_new_coin as they didn’t understand string splicing or the best way to loop through different object types. we also saw a lot of not understanding simple comparison of all elements in a list (they didn’t know how to loop through a list to find the minimum value without using the min() function)
102287081,Completed,134.126.113.9,4/19/23 18:03,0,142,1,,,,,,,,,US,VA,,1/19/23,Wednesday,5-7 pm,22,10 minutes,Students not testing code locally
102291087,Completed,134.126.113.0,4/19/23 20:03,0,49,1,,,,,,,,,US,VA,,4/19/23,Wednesday,7-9 pm,36,8,"149, 159"
102294685,Completed,67.187.17.151,4/19/23 22:16,0,115,1,,,,,,,,,US,VA,,4/19/23,Wednesday,9-11 pm,22,5-15mins,CS 149 - Calling an objects method within an object (dealing with multiple classes)
102314427,Completed,52.124.33.225,4/20/23 09:12,0,63,1,,,,,,,,,US,VA,,4/19/23,Wednesday,5-7 pm,25,5-10 minutes,Students not having any local tests
102365640,Completed,71.63.35.135,4/20/23 19:58,0,45,1,,,,,,,,,US,VA,,4/20/23,Thursday,7-9 pm,5,15,149 | PA 240 | one huffman questions
102365895,Completed,134.126.113.41,4/20/23 20:09,0,230,1,,,,,,,,,US,VA,,4/20/23,Thursday,7-9 pm,13,15-20 mins,"149 - PA2b, find_new_coin, add_coin 159 - Recursion lab"
102368342,Completed,52.124.33.225,4/20/23 22:05,0,129,1,,,,,,,,,US,VA,,4/20/23,Thursday,9-11 pm,7,15 minutes,Students confusion between objects and primitive types and comparisons between them
102386465,Completed,71.63.35.135,4/21/23 10:35,0,214,1,,,,,,,,,US,VA,,4/20/23,Thursday,5-7 pm,5,15,149 | PA 240 | PA
102449962,Completed,134.126.113.17,4/23/23 16:03,0,42,1,,,,,,,,,US,VA,,4/23/23,Sunday,3-5 pm Sunday only,7,10,261 - main.c issues 149 - not understanding dictionaries 
102458086,Completed,71.63.35.135,4/23/23 22:02,0,28,1,,,,,,,,,US,VA,,4/23/23,Sunday,9-11 pm,1,20,149 | PA2
102458137,Completed,98.244.113.74,4/23/23 22:06,0,42,1,,,,,,,,,US,VA,,4/23/23,Sunday,5-7 pm,1,15,149 - OOP 
102481897,Completed,134.126.113.32,4/24/23 09:44,0,34,1,,,,,,,,,US,VA,,4/23/23,Sunday,7-9 pm,0,0,None!
102507268,Completed,134.126.113.41,4/24/23 17:57,0,46,1,,,,,,,,,US,VA,,4/24/23,Monday,5-7 pm,20,10m,159 and 261
102530686,Completed,75.102.131.71,4/24/23 23:12,0,153,1,,,,,,,,,US,VA,,4/24/23,Monday,9-11 pm,1,10 minutes,159: tostring() error
102560491,Completed,134.126.113.17,4/25/23 10:17,0,75,1,,,,,,,,,US,VA,,4/24/23,Monday,7-9 pm,17,15,"261 - condition codes, register values little endian big endian 159 - some string issue where the string matched perfectly but didn't pass 149 - syntax issues "
102592747,Completed,134.126.113.41,4/25/23 20:05,0,229,1,,,,,,,,,US,VA,,4/25/23,Tuesday,7-9 pm,18,15-20 mins,"149 - PA3, Garage, assign_car, remove_car 159 - PA3, splitting the grid 261 - P4, y86 instruction interpretation"
102609881,Completed,75.102.137.39,4/25/23 23:36,0,28,1,,,,,,,,,US,VA,,4/25/23,Tuesday,7-9 pm,8,15,"159,240"
102621198,Completed,75.102.131.71,4/26/23 07:47,0,269,1,,,,,,,,,US,VA,,4/25/23,Tuesday,5-7 pm,35,10 minutes,"149: dictionaries, understanding data types, objects, when to use self vs when to use a variable 240: efficiency 261: understanding y86 instructions and getting the right data from a struct"
102667155,Completed,134.126.113.9,4/26/23 18:16,0,156,1,,,,,,,,,US,VA,,4/26/23,Wednesday,5-7 pm,15,10 mins,Cs 149 understanding garage specifications 261: lack of clarity with dr aboutabls differences in pa from lam
102675668,Completed,67.187.17.151,4/26/23 22:20,0,77,1,,,,,,,,,US,VA,,4/26/23,Wednesday,9-11 pm,7,20 mins,CS 149 - Dictionaries
102724042,Completed,134.126.113.32,4/27/23 19:19,0,166,1,,,,,,,,,US,VA,,4/27/23,Thursday,5-7 pm,42,5-20mins,CS 149 - Understanding the specs for DukesParking and datetime objects CS 159 - Recursion CS 261 - Understanding how to deal with the Flags
102725033,Completed,134.126.113.41,4/27/23 20:00,0,189,1,,,,,,,,,US,VA,,4/27/23,Thursday,7-9 pm,17,15-20 mins,"149 - run, testing parking, datetime, classes and objects 261 - memory, wb, execute, memcp for mrmove and rmmove"
102727413,Completed,52.124.33.225,4/27/23 22:04,0,62,1,,,,,,,,,US,VA,,4/27/23,Thursday,9-11 pm,8,15 minutes,testing for pa3 in 149
102809550,Completed,71.63.35.135,4/30/23 22:09,0,44,1,,,,,,,,,US,VA,,4/30/23,Sunday,3-5 pm Sunday only,15,10,149 | PA 3 240 | PA
102809570,Completed,71.63.35.135,4/30/23 22:10,0,89,1,,,,,,,,,US,VA,,4/30/23,Sunday,9-11 pm,9,20,149 - PA 240 - PA unzip logic 261 - 1 question
102832956,Completed,134.126.113.113,5/1/23 15:06,0,152,1,,,,,,,,,US,VA,,1/1/70,Sunday,5-7 pm,30,8,"240- Huffman tree building 261- register memory copying 149 - Pa. Oop, not reading any specs, not using any helpers etc"
102833051,Completed,134.126.113.113,5/1/23 15:08,0,84,1,,,,,,,,,US,VA,,1/1/70,Sunday,7-9 pm,10,15,"149 - not reading assignments, date time object "
102864858,Completed,134.126.113.41,5/2/23 09:11,0,43,1,,,,,,,,,US,VA,,5/1/23,Monday,5-7 pm,15,15m,149 pa
102883990,Completed,98.244.113.74,5/2/23 12:54,0,45,1,,,,,,,,,US,VA,,5/1/23,Monday,7-9 pm,25,10,"149 - making objects, creating constructors"
102912593,Completed,134.126.113.41,5/2/23 20:05,0,60,1,,,,,,,,,US,VA,,5/2/23,Tuesday,7-9 pm,30,10-15 mins,"149 - impound, payment, garage"
102917751,Completed,75.102.137.39,5/2/23 22:17,0,974,1,,,,,,,,,US,VA,,5/2/23,Tuesday,9-11 pm,24,10,149 pa3
102919449,Completed,75.102.131.71,5/2/23 23:17,0,247,1,,,,,,,,,US,VA,,5/1/23,Monday,9-11 pm,9,5-15 minutes,"149: removing from a dictionary, self vs var, reading datetime documentation, self testing 240: finding the least frequent node 261: getopt"
102919743,Completed,75.102.131.71,5/2/23 23:27,0,628,1,,,,,,,,,US,VA,,5/2/23,Tuesday,5-7 pm,45,10 minutes,"149: self vs var, understanding what an object is (I wish I was kidding), understanding why you can't use functions on objects of None type, dealing with datetime objects and reading documentation"
102984332,Completed,67.187.17.151,5/3/23 22:07,0,69,1,,,,,,,,,US,VA,,5/3/23,Wednesday,9-11 pm,20,5-15mins,CS 149 - Dukes Parking (reading specs and understanding how to use methods from objects)
103044538,Completed,134.126.113.41,5/4/23 20:01,0,78,1,,,,,,,,,US,VA,,5/4/23,Thursday,7-9 pm,16,20 mins,"149 - p3, payment, run, datetime"
103047773,Completed,71.63.35.135,5/4/23 21:56,0,72,1,,,,,,,,,US,VA,,5/4/23,Thursday,5-7 pm,15,20,149 | PA 3
103048071,Completed,52.124.33.225,5/4/23 22:13,0,128,1,,,,,,,,,US,VA,,5/4/23,Thursday,9-11 pm,8,20-30 minutes,"149, difficulty understanding different object types and why string and int addition is not defined in python"
